iter	Passed	Remaining
925	2226	177
926	2228	175
927	2231	173
928	2233	170
929	2235	168
930	2238	165
931	2240	163
932	2243	161
933	2246	158
934	2248	156
935	2250	153
936	2253	151
937	2256	149
938	2258	146
939	2260	144
940	2262	141
941	2265	139
942	2267	137
943	2269	134
944	2272	132
945	2274	129
946	2276	127
947	2279	125
948	2283	122
949	2285	120
950	2288	117
951	2290	115
952	2292	113
953	2294	110
954	2296	108
955	2298	105
956	2300	103
957	2305	101
958	2308	98
959	2310	96
960	2313	93
961	2315	91
962	2318	89
963	2320	86
964	2322	84
965	2325	81
966	2327	79
967	2329	77
968	2331	74
969	2333	72
970	2336	69
971	2338	67
972	2340	64
973	2342	62
974	2345	60
975	2347	57
976	2349	55
977	2352	52
978	2354	50
979	2356	48
980	2359	45
981	2361	43
982	2363	40
983	2365	38
984	2368	36
985	2371	33
986	2373	31
987	2375	28
988	2378	26
989	2380	24
990	2382	21
991	2385	19
992	2387	16
993	2389	14
994	2392	12
995	2395	9
996	2397	7
997	2399	4
998	2401	2
999	2403	0
